a	ئا
aa	ئائا
aba	ئابا
abadan	ئابادان
abadanî	ئابادانی
abad kirdin	ئاباد کردن
abadî	ئابادی
aban	ئابان
abaqrî	ئاباقری
abaê a naê	ئاباێ ئاناێ
aba û ejdad	ئاباوئەژداد
abcew	ئابجەو
abeş	ئابەش
abira	ئابرا
abr̂êz	ئابڕێز
abr̂ü	ئابڕؤ
abr̂ü birdin	ئابڕؤ بردن
abr̂üdar	ئابڕؤدار
abr̂ü çîn	ئابڕؤچین
abwez	ئابوەز
acafirî	ئاجافری
acam	ئاجام
acan	ئاجان
acet	ئاجەت
acur̂	ئاجوڕ
acîl	ئاجیل
acül	ئاجؤل
ad	ئاد
adak	ئاداک
adem	ئادەم
ader	ئادەر
adeî	ئادەی
adir̂	ئادڕ
adî	ئادی
adîde û amîn	ئادیده وئامین
a ewe	ئائەوه
a eye	ئائەیه
afat	ئافات
afaz	ئافاز
aferim	ئافەرم
aferîde	ئافەریده
aferîn	ئافەرین
afet	ئافەت
afire sîye	ئافرەسییه
afiret	ئافرەت
afiret bar	ئافرەتبار
afiret baz	ئافرەتباز
afiret bazî	ئافرەتبازی
afiryane	ئافریانه
afi taf	ئافْ تاف
aft	ئافت
aftawe	ئافتاوه
aftin	ئافتن
aftîn	ئافتین
aft û hest	ئافت وهەست
aga	ئاگا
aga bûn	ئاگا بوون
aga bûnewe	ئاگا بوونەوه
agadar	ئاگادار
agakirdin	ئاگا کردن
agay	ئاگای
agay dan	ئاگای دان
age	ئاگه
agir	ئاگر
agir baran	ئاگرباران
agir bazî	ئاگربازی
agir berek	ئاگربەرەک
agir biçuwe lêd	ئاگربچووه لێد
agir dan	ئاگردان
agir dü	ئاگردؤ
agire	ئاگره
agirek	ئاگرەک
agire kewĺ	ئاگرەکەوڵ
agire kûĺ	ئاگرەکووڵ
agire lê çî	ئاگره لێ چی
agireper̂	ئاگرەپەڕ
agire pir̂	ئاگرەپڕ
agire pir̂ bay	ئاگرەپڕبای
agiresür	ئاگرەسؤر
agire war̂e	ئاگرەواڕه
agire war̂e bün	ئاگرەواڕەبؤن
agir girtin	ئاگرگرتن
agir girtê	ئاگرگرتێ
agiri gir̂	ئاگرْ گڕ
agiri jêiri xweĺekû	ئاگرْ ژێرْخوەڵەکوو
agiri jêri key	ئاگرْ ژێرْ کەی
agiri mij	ئاگرْمژ
agir lê warîn	ئاگر لێ وارین
agirmedar	ئاگرمەدار
agirmelîç	ئاگرمەلیچ
agirmelüç	ئاگرمەلؤچ
agir pare	ئاگرپاره
agir peres	ئاگرپەرەس
agirwac	ئاگرواج
agir waran	ئاگرواران
agirwaç	ئاگرواچ
agir we gyan keftin	ئاگر وه گیان کەفتن
agir xweşkere	ئاگرخوەشکەره
agirî	ئاگری
agirîn	ئاگرین
agû	ئاگوو
agûgerd	ئاگووگەرد
ah	ئاهـ
aha	ئاها
ahek	ئاهەک
ahenĝ	ئاهەنگ
aher̂a	ئاهەڕا
aher̂ê	ئاهەڕێ
ahete	ئاهەته
aheteser	ئاهەتەسەر
ahin	ئاهن
ahingeran	ئاهنگەران
ahir̂	ئاهڕ
ahîn	ئاهین
ahû	ئاهوُ
ah û naĺe	ئاهو وناڵه
ah û niza	ئاهو ونزا
aiêm	ئاێم
aiêmi pa per̂uwîn	ئاێم پا پەڕووین
aiêmî	ئاێمی
aiêmîza	ئاێمیزا
aiêmîzaêye	ئاێمیزاێيە
aj	ئاژ
ajajiganin	ئاژاژگانن
ajajigî	ئاژاژگی
ajajik	ئاژاژْک
ajajikî	ئاژاژکی
ajan	ئاژان
ajanin	ئاژانن
ajaninewe	ئاژاننەوه
ajawe	ئاژاوه
ajawĺe	ئاژاوڵه
ajaĺ	ئاژاڵ
ajeĺ	ئاژەڵ
ajeĺ dar	ئاژەڵدار
ajeĺ darî	ئاژەڵداری
