a	ā,ə, yek
a-	article, yek
abandon	əˈbandən, terikandin
abandoning	verb, terikandin
abandons	əˈbandən, terikandin
abbreviate	əˈbrēvēˌāt, kinkirin
abbreviated	əˈbrēvēˌātid, kinkirin
abbreviates	əˈbrēvēˌāt, kinkirin
abbreviating	verb, kinkirin
abbreviation	əˌbrēvēˈāSHən, kinkirî
abbreviations	noun, kinkirî
abdomen	abˈdōmən,ˈabdəmən, binzik
abdomens	abˈdōmən,ˈabdəmən, binzik
abduct	abˈdəkt, revandin
abducted	verb, revandin
abducting	verb, revandin
abduction	abˈdəkSHən, revandinî
abductions	abˈdəkSHən, revandinî
abducts	abˈdəkt, revandin
abide	əˈbīd, debirandin
abides	əˈbīd, debirandin
abiding	əˈbīdiNG, debirandin
abilities	noun, kêrhatî
ability	əˈbilitē, kêrhatî
ablaze	əˈblāz, arpêketî
able	ˈābəl, kêrhat
abler	ˈābəl, kêrhat
ablest	ˈābəl, kêrhat
abnormal	abˈnôrməl, nenormal
abode	əˈbōd, debirandin
abolish	əˈbäliSH, rakirin
abolished	verb, rakirin
abolishes	əˈbäliSH, rakirin
abolishing	verb, rakirin
aborigine	ˌabəˈrijənē, kevneruniştevan
abortion	əˈbôrSHən, ji berxwegirtin
abortions	əˈbôrSHən, ji berxwegirtin
about	əˈbout, ji dor
above	əˈbəv, ser
abroad	əˈbrôd, ji derve
abrupt	əˈbrəpt, seranser
abscess	ˈabˌses, kûl
abscesses	ˈabˌses, kûl
absence	ˈabsəns, neamadeyî
absences	noun, neamadeyî
absent	, neamade
absolutely	ˌabsəˈlo͞otlē, bêsînor
absorb	-ˈsôrb,əbˈzôrb, mehandin
absorbed	-ˈsôrbd,əbˈzôrbd, mehandin
absorbing	-ˈsôr-,əbˈzôrbiNG, mehandin
absorbs	verb, mehandin
abstain	abˈstān, bêdengmayin
abstained	verb, bêdengmayin
abstaining	verb, bêdengmayin
abstains	abˈstān, bêdengmayin
abstract	, veqetî
absurd	-ˈzərd,əbˈsərd, dijrast
abundance	əˈbəndəns, zêdayî
abundances	əˈbəndəns, zêdayî
abundant	əˈbəndənt, gellek
abuse	, nebaşkaranîn
abused	verb, nebaşkaranîn
abuses	verb, nebaşkaranîn
abusing	verb, nebaşkaranîn
abusive	-ziv,əˈbyo͞osiv, rixe
academic	ˌakəˈdemik, danişgayî
academies	noun, danişga
academy	əˈkadəmē, danişga
accelerate	akˈseləˌrāt, lezdan
accelerated	verb, lezdan
accelerates	akˈseləˌrāt, lezdan
accelerating	verb, lezdan
acceleration	akˌseləˈrāSHən, lezdanî
accelerations	akˌseləˈrāSHən, lezdanî
accelerator	akˈseləˌrātər, pêdala xazê
accelerators	akˈseləˌrātər, pêdala xazê
accent	, devok
accents	noun, devok
accept	akˈsept, baweranîn
acceptable	akˈseptəbəl, bawerbar
acceptance	akˈseptəns, bawerî
acceptances	noun, bawerî
accepts	verb, baweranîn
access	ˈakˌses, navketin
accesses	noun, navketin
accessible	akˈsesəbəl, navketî
accessories	noun, vêra
accessory	akˈses(ə)rē, perçê pêva
accident	ˈaksidənt, qeza
accidental	ˌaksiˈdentl, bêqesd
accidentally	adverb, tesadûfî
accidents	noun, qeza
accommodate	əˈkäməˌdāt, bicihkirin
accommodated	verb, bicihkirin
accommodates	əˈkäməˌdāt, bicihkirin
accommodating	əˈkäməˌdātiNG, bicihkirin
accommodation	əˌkäməˈdāSHən, cih
accommodations	noun, cih
accompanied	verb, hevalrêtîkirin
accompanies	əˈkəmp(ə)nē, hevalrêtîkirin
accompaniment	əˈkəmp(ə)nimənt, hevalrêtî
accompaniments	noun, hevalrêtî
accompany	əˈkəmp(ə)nē, hevalrêtîkirin
accompanying	verb, hevalrêtîkirin
accomplish	əˈkämpliSH, bicihanîn
accomplished	əˈkämpliSHt, bicihanîn
accomplishes	əˈkämpliSH, bicihanîn
accomplishing	verb, bicihanîn
accomplishment	əˈkämpliSHmənt, bicihhatî
accomplishments	noun, bicihhatî
accordingly	əˈkôrdiNGlē, gorvî
according to	preposition, gor
accordion	əˈkôrdēən, akordîyon
accordions	əˈkôrdēən, akordîyon
account	əˈkount, konto
accountable	əˈkountəbəl, berpirsîyarîn
accountant	əˈkount(ə)nt, hesabdar
accountants	noun, hesabdar
accounts	noun, konto
accrue	əˈkro͞o, hevgîhandin
accrued	verb, hevgîhandin
accrues	əˈkro͞o, hevgîhandin
accruing	verb, hevgîhandin
accumulate	əˈkyo͞omyəˌlāt, hevcivandin
accumulated	verb, hevcivandin
accumulates	əˈkyo͞omyəˌlāt, hevcivandin
accumulating	verb, hevcivandin
accumulation	əˌkyo͞omyəˈlāSHən, serhevhatin
accumulations	əˌkyo͞omyəˈlāSHən, serhevhatin
accuracies	ˈakyərəsē, tamî
accuracy	ˈakyərəsē, tamî
accurate	ˈakyərit, tam
accusation	ˌakyo͞o-,ˌakyəˈzāSHən, gilî
accusations	noun, gilî
accusative	əˈkyo͞ozətiv, berkar
accusatives	noun, berkar
accuse	əˈkyo͞oz, gilîkirin
accused	əˈkyo͞ozd, gilîdar
accuses	əˈkyo͞oz, gilîkirin
accusing	əˈkyo͞oziNG, gilîkirin
ace	ās, as
aces	ās, as
ache	āk, êş
aches	noun, êş
achieve	əˈCHēv, gîhaştin
achieved	verb, gîhaştin
achievement	əˈCHēvmənt, suxre
achievements	noun, suxre
achieves	verb, gîhaştin
achieving	verb, gîhaştin
acid	ˈasid, tirşî
acids	noun, tirşî
acknowledge	akˈnälij, nasîn
acknowledged	akˈnälijd, nasîn
acknowledgement	akˈnälijmənt, nasyarî
acknowledgements	noun, nasyarî
acknowledges	verb, nasîn
acknowledging	verb, nasîn
acknowledgment	akˈnälijmənt, nasyarî
acknowledgments	noun, nasyarî
acne	ˈaknē, pizik
acorn	ˈāˌkôrn, bellot
acorns	noun, bellot
acquaint	əˈkwānt, nasdayin
acquaintance	əˈkwāntns, nasî
acquaintances	noun, nasî
acquainted	verb, nasdayin
acquainting	əˈkwānt, nasdayin
acquaints	əˈkwānt, nasdayin
acquire	əˈkwī(ə)r, kirrîn
acquired	verb, kirrîn
acquires	verb, kirrîn
acquiring	verb, kirrîn
acquisition	ˌakwəˈziSHən, bidestxistinî
acquisitions	noun, bidestxistinî
acquit	əˈkwit, azadaxaftin
acquits	əˈkwit, azadaxaftin
acquittal	əˈkwitl, azadakir
acquittals	əˈkwitl, azadakir
acquitted	verb, azadaxaftin
acquitting	verb, azadaxaftin
acrobat	ˈakrəˌbat, akrobat
acrobatics	ˌakrəˈbatiks, cambazî
acrobats	ˈakrəˌbat, akrobat
across	əˈkräs,əˈkrôs, li ser
act	akt, lîstin
acted	verb, lîstin
action	ˈakSHən, çalakî
actions	noun, çalakî
active	ˈaktiv, jîr
activist	noun, dilxwaz
activists	noun, dilxwaz
activities	noun, çalakî
activity	akˈtivitē, çalakî
actor	ˈaktər, şanoger
actors	noun, şanoger
actress	ˈaktris, şanoger
actresses	noun, şanoger
actual	ˈakCHo͞oəl, rast
actually	ˈakCHo͞oəlē, birastî
acupuncture	ˈakyəˌpəNGkCHər, akpûnktûr
acute	əˈkyo͞ot, acîl
acutest	əˈkyo͞ot, acîl
adamant	ˈadəmənt, serhişk
adapt	əˈdapt, lihevanîn
adaptable	əˈdaptəbəl, lihevtê
adapted	verb, lihevanîn
adapter	əˈdaptər, perçê navîn
adapters	noun, perçê navîn
adapting	verb, lihevanîn
adaptor	əˈdaptər, perçê navîn
adaptors	noun, perçê navîn
adapts	verb, lihevanîn
add	ad, lêzêdekirin
addict	ˈadikt, peywend
addiction	əˈdikSHən, peywendî
addictions	əˈdikSHən, peywendî
addicts	noun, peywend
adding	verb, lêzêdekirin
addition	əˈdiSHən, pitir
additional	əˈdiSHənl, biserre
additions	noun, pitir
additive	ˈaditiv, tiştênbiserre
additives	noun, tiştênbiserre
address	əˈdres,ˈaˌdres, binavnîşankirin
addressed	verb, binavnîşankirin
addresses	verb, binavnîşankirin
addressing	verb, binavnîşankirin
ADDS	verb, lêzêdekirin
adds	verb, lêzêdekirin
adequate	ˈadikwit, gordil
adhesive	-ziv,adˈhēsiv, pêvzeliqî
adjacent	əˈjāsənt, berde
adjective	ˈajiktiv, navder
adjectives	noun, navder
adjourn	əˈjərn, tarloqkirin
adjourned	verb, tarloqkirin
adjourning	əˈjərn, tarloqkirin
